summit_id,name,elevation,isolation,prominence,latitude,longtitude,type,county,state,type_str
135815,Rib Mountain,1924,34.77,629,44.92070,-89.69510,1,Marathon County,WI,mountain
136582,Clark Mountain,1452,21.16,662,37.19300,-90.66360,1,Wayne County,MO,mountain
142606,Magpie Peak,5812,0.91,762,61.03880,-149.16890,2,Anchorage,AK,peak
142715,South Suicide Peak,5005,0.71,955,61.02950,-149.57550,2,Anchorage,AK,peak
153092,Lundberg Mountain,466,0.46,236,48.68700,-123.21840,1,San Juan County,WA,mountain
162267,Rhino Peak,6450,1.99,1100,58.55930,-134.43880,2,Juneau,AK,peak
167728,"Henry Clay, Mount",7447,4.68,1706,59.37620,-136.47750,0,Stikine Region,BC,mount
48980,"Barney, Mount",7828,1.78,448,48.78110,-120.24700,0,Okanogan County,WA,mount
49018,Bannock Mountain,7780,3.17,640,48.25570,-120.99210,1,Snohomish County,WA,mountain
49030,Colonial Peak,7771,1.97,1191,48.66150,-121.12170,2,Whatcom County,WA,peak
49033,Big Jim Mountain,7763,1.75,503,47.66230,-120.83220,1,Chelan County,WA,mountain
49051,"Benzarino, Mount",7740,1.66,720,48.48970,-120.81710,0,Chelan County,WA,mount
49055,Liberty Bell Mountain,7740,0.25,240,48.51540,-120.65790,1,Okanogan County,WA,mountain
49071,Nanny Goat Mountain,7700,2.90,1680,48.83580,-120.37890,1,Okanogan County,WA,mountain
49144,Hinkhouse Peak,7580,1.74,800,48.53730,-120.65540,2,Okanogan County,WA,peak
49181,Trapper Mountain,7530,0.92,1190,48.43170,-121.01810,1,Chelan County,WA,mountain
49277,Pinnacle Peak,7380,0.39,440,48.67150,-121.14960,2,Whatcom County,WA,peak
49317,"Fremont, Mount",7317,1.53,577,46.92540,-121.67310,0,Pierce County,WA,mount
49330,Edward Peak,7300,1.15,520,47.51740,-120.76070,2,Chelan County,WA,peak
49343,Whittier Peak,7281,2.23,501,47.94710,-121.03150,2,Chelan County,WA,peak
49373,Glory Mountain,7228,1.74,1368,48.43210,-120.98010,1,Chelan County,WA,mountain
49394,Bears Breast Mountain,7197,1.62,1137,47.54000,-121.22550,1,Kittitas County,WA,mountain
49457,Indian Mountain,7133,1.14,633,48.89880,-121.38970,1,Whatcom County,WA,mountain
49495,"Tom, Mount",7076,2.27,736,47.79300,-123.75790,0,Jefferson County,WA,mount
49514,Big Devil Peak,7055,5.32,1675,48.60460,-121.29350,2,Skagit County,WA,peak
49541,Chikamin Peak,7020,1.36,1120,47.47550,-121.31090,2,Kittitas County,WA,peak
49564,"Carrie, Mount",6995,6.30,1695,47.89420,-123.64930,0,Clallam County,WA,mount
49584,Painted Mountain,6975,2.23,963,48.07450,-121.25340,1,Snohomish County,WA,mountain
49594,Marcus Peak,6962,0.70,502,46.93790,-121.60820,2,Pierce County,WA,peak
49609,Bald Mountain,6940,1.80,1000,48.55910,-118.50230,1,Ferry County,WA,mountain
49622,Tolo Mountain,6931,1.31,1111,48.39530,-120.89620,1,Chelan County,WA,mountain
49623,Crook Mountain,6930,3.57,750,47.93990,-120.83950,1,Chelan County,WA,mountain
49850,Tyee Mountain,6654,2.19,594,47.86410,-120.47130,1,Chelan County,WA,mountain
49896,Sentinel Peak,6592,2.00,772,47.77910,-123.34190,2,Jefferson County,WA,peak
49898,Mankato Mountain,6590,0.94,210,48.83650,-117.11070,1,Pend Oreille County,WA,mountain
50044,"Skokomish, Mount",6434,1.67,1174,47.59110,-123.29420,0,Mason County,WA,mount
50050,Davis Peak,6426,0.46,46,47.44790,-121.07870,2,Kittitas County,WA,peak
50079,Grizzly Mountain,6397,6.20,1777,48.42730,-118.50020,1,Ferry County,WA,mountain
50104,Labyrinth Mountain,6376,4.87,1756,47.85290,-121.04310,1,Chelan County,WA,mountain
50113,"Misery, Mount",6366,1.70,546,46.12290,-117.51460,0,Garfield County,WA,mount
50139,Huckleberry Mountain,6340,1.08,760,47.47420,-121.33400,1,Kittitas County,WA,mountain
50189,"Townsend, Mount",6280,2.00,620,47.86750,-123.05940,0,Clallam County,WA,mount
50191,Snoqualmie Mountain,6278,2.78,1018,47.45870,-121.41650,1,King County,WA,mountain
50202,"Herman, Mount",6260,3.55,1160,48.86620,-121.70240,0,Whatcom County,WA,mount
50215,Kaleetan Peak,6259,2.89,1879,47.46250,-121.47810,2,King County,WA,peak
50231,"Clifty, Mount",6245,4.60,785,47.10580,-121.16440,0,Kittitas County,WA,mount
50285,Lookout Mountain,6188,1.68,848,47.11230,-121.13010,1,Kittitas County,WA,mountain
50286,Hannegan Peak,6187,1.22,487,48.89220,-121.53420,2,Whatcom County,WA,peak
50311,Seventeenmile Mountain,6161,5.05,1341,48.48730,-118.56700,1,Ferry County,WA,mountain
50341,Razorback Mountain,6110,1.21,650,48.48050,-121.31740,1,Skagit County,WA,mountain
50369,"Fitzhenry, Mount",6075,1.57,450,47.92270,-123.63040,0,Clallam County,WA,mount
50402,Arrowhead Mountain,6030,2.45,570,47.75770,-120.96580,1,Chelan County,WA,mountain
50405,"Appleton, Mount",6025,0.39,250,47.95050,-123.73280,0,Clallam County,WA,mount
50408,Morning Star Peak,6020,0.98,1000,48.00400,-121.49090,2,Snohomish County,WA,peak
50441,"Lena, Mount",5995,3.33,1055,47.63990,-123.21520,0,Jefferson County,WA,mount
50449,Circle Peak,5983,3.61,923,48.22050,-121.32250,2,Snohomish County,WA,peak
50454,Marble Mountain,5994,2.17,1094,48.90380,-118.37930,1,Ferry County,WA,mountain
50467,Squaw Peak,5978,0.95,278,46.03030,-117.89170,2,Columbia County,WA,peak
50473,Round Mountain,5970,4.29,670,46.63420,-121.33090,1,Yakima County,WA,mountain
50478,Little Moses Mountain,5963,3.13,1143,48.41460,-119.04000,1,Okanogan County,WA,mountain
50492,Graves Mountain,5947,2.77,1007,48.63730,-118.35910,1,Ferry County,WA,mountain
50557,"Roosevelt, Mount",5885,1.41,625,47.48110,-121.50370,0,King County,WA,mount
50561,"Whittier, Mount",5883,9.19,1863,46.32560,-122.13320,0,Skamania County,WA,mount
50566,Deadman Peak,5873,2.86,333,46.06740,-117.93860,2,Columbia County,WA,peak
50579,"Margaret, Mount",5860,0.94,440,46.31210,-122.13450,0,Skamania County,WA,mount
50606,Granite Mountain,5836,0.91,376,48.52130,-118.57290,1,Ferry County,WA,mountain
50623,"Venus, Mount",5820,1.81,640,46.34270,-122.16200,0,Skamania County,WA,mount
50655,Old Baldy Mountain,5796,2.10,776,47.01740,-121.88990,1,Pierce County,WA,mountain
50682,Chewelah Mountain,5773,7.85,1727,48.28440,-117.57190,1,Stevens County,WA,mountain
50689,Treen Peak,5763,5.04,1623,47.56370,-121.47010,2,King County,WA,peak
50807,Prairie Mountain,5678,4.87,1378,48.27530,-121.47130,1,Snohomish County,WA,mountain
50841,Chase Mountain,5642,3.92,742,46.11230,-117.85810,1,Columbia County,WA,mountain
50877,Juniper Peak,5611,2.61,671,46.36810,-121.77810,2,Skamania County,WA,peak
50902,Bitterroot Mountain,5588,0.77,208,48.37570,-118.40930,1,Ferry County,WA,mountain
50905,"Price, Mount",5587,2.93,1487,47.50370,-121.40840,0,King County,WA,mount
50920,"Margaret, Mount",5580,0.88,480,47.38320,-121.33940,0,Kittitas County,WA,mount
50948,Elk Peak,5551,2.99,1051,46.42650,-121.57300,2,Lewis County,WA,peak
50957,Goddards Peak,5548,3.50,928,48.32860,-117.53500,2,Stevens County,WA,peak
51008,"Sawyer, Mount",5501,1.29,641,47.66690,-121.22430,0,King County,WA,mount
51053,Lookout Mountain,5475,2.00,975,46.71540,-121.77670,1,Lewis County,WA,mountain
51123,Low Mountain,5420,1.18,800,47.43510,-121.46890,1,King County,WA,mountain
51130,Gleason Mountain,5416,2.55,1076,48.57610,-117.09920,1,Pend Oreille County,WA,mountain
51139,Dog Mountain,5408,1.91,788,47.60760,-121.50090,1,King County,WA,mountain
51162,Dunn Mountain,5380,9.45,1800,48.34710,-117.95910,1,Stevens County,WA,mountain
51163,Storm King Mountain,5380,3.90,1360,48.71800,-118.80140,1,Ferry County,WA,mountain
51180,Little Buck Mountain,5375,1.68,788,48.38770,-119.92740,1,Okanogan County,WA,mountain
51186,Langille Peak,5372,2.37,287,46.36420,-121.82830,2,Skamania County,WA,peak
51196,Dugout Mountain,5364,3.34,504,48.49760,-118.96080,1,Okanogan County,WA,mountain
51201,Red Top Mountain,5361,5.19,941,47.30170,-120.76090,1,Kittitas County,WA,mountain
51209,Bare Mountain,5353,1.28,453,47.64940,-121.50730,1,King County,WA,mountain
51255,Gove Peak,5310,1.28,50,46.97070,-121.84510,2,Pierce County,WA,peak
51259,Burley Mountain,5312,4.98,1372,46.40730,-121.86560,1,Lewis County,WA,mountain
51303,Skate Mountain,5260,3.28,1520,46.65570,-121.79910,1,Lewis County,WA,mountain
51304,Tumwater Mountain,5260,4.15,1080,46.42820,-122.10370,1,Lewis County,WA,mountain
51334,Iron Mountain,5245,1.28,585,47.85840,-121.43110,1,Snohomish County,WA,mountain
51407,Quartz Mountain,5180,3.00,654,47.88520,-117.08200,1,Spokane County,WA,mountain
51427,Colquhoun Peak,5173,1.56,593,47.12900,-121.46150,2,King County,WA,peak
51435,Bessemer Mountain,5166,2.57,1466,47.56040,-121.60830,1,King County,WA,mountain
51441,Hoodoo Mountain,5158,2.94,1898,48.65300,-118.23930,1,Ferry County,WA,mountain
51473,Unicorn Peak,5125,1.47,650,48.01090,-123.52220,2,Clallam County,WA,peak
51501,Nelson Peak,5102,0.62,242,48.19670,-117.52830,2,Stevens County,WA,peak
51524,Pratt Mountain,5099,0.95,799,47.42690,-121.52670,1,King County,WA,mountain
51533,Finney Peak,5083,3.76,1652,48.38070,-121.74570,2,Skagit County,WA,peak
51556,Suiattle Mountain,5060,2.04,960,48.40470,-121.50410,1,Skagit County,WA,mountain
51581,Capitol Peak,5054,3.42,1514,47.49180,-123.49300,2,Mason County,WA,peak
51584,"Catherine, Mount",5052,1.78,1232,47.37240,-121.42680,0,Kittitas County,WA,mount
51628,Berry Mountain,5020,1.51,240,45.96060,-121.81210,1,Skamania County,WA,mountain
51920,"Baldy, Mount",4775,1.71,350,48.04790,-123.64740,0,Clallam County,WA,mount
51990,Pot Peak,4708,2.53,248,47.94290,-120.32480,2,Chelan County,WA,peak
52130,Lone Tree Mountain,4620,0.73,280,46.47610,-121.83690,1,Lewis County,WA,mountain
52177,McClure Mountain,4580,0.81,285,48.31850,-120.11420,1,Okanogan County,WA,mountain
52295,Wellington Peak,4483,5.66,1171,48.25910,-118.07670,2,Stevens County,WA,peak
52349,Copper Mountain,4420,4.77,1320,48.62230,-118.79090,1,Ferry County,WA,mountain
52403,"Crag, Mount",4380,2.57,320,47.76570,-122.99600,0,Jefferson County,WA,mount
52425,Big Deer Peak,4345,1.16,525,48.37980,-121.91600,2,Skagit County,WA,peak
52454,Johnson Mountain,4331,0.76,271,46.56940,-122.12150,1,Lewis County,WA,mountain
52501,"Zion, Mount",4278,1.98,1338,47.92330,-123.01060,0,Clallam County,WA,mount
52516,Guler Mountain,4260,1.59,400,45.92830,-121.55760,1,Klickitat County,WA,mountain
52535,Flagstaff Mountain,4260,7.30,1680,48.90860,-117.86930,1,Stevens County,WA,mountain
52592,Big Huckleberry Mountain,4203,4.62,983,45.84720,-121.78360,1,Skamania County,WA,mountain
52617,Little Peacock Mountain,4180,0.83,240,48.52310,-119.77130,1,Okanogan County,WA,mountain
52698,Burnt Peak,4106,1.15,286,46.07250,-121.88030,2,Skamania County,WA,peak
52820,Cultus Mountain,3993,1.23,293,48.42460,-122.14190,1,Skagit County,WA,mountain
52868,Grandview Mountain,3953,3.07,820,48.88930,-119.65590,1,Okanogan County,WA,mountain
52927,Stoddard Mountain,3904,4.55,499,48.86150,-117.75730,1,Stevens County,WA,mountain
52936,Gumboot Mountain,3900,1.69,461,45.86110,-122.21130,1,Skamania County,WA,mountain
52939,Klicker Mountain,3900,3.25,360,46.01070,-118.09000,1,Walla Walla County,WA,mountain
52960,Whiskey Dick Mountain,3881,20.54,431,47.02420,-120.23150,1,Kittitas County,WA,mountain
53086,Monahan Mountain,3775,2.41,1355,47.22850,-121.20120,1,Kittitas County,WA,mountain
53102,Deer Lake Mountain,3747,3.67,1207,48.08290,-117.60490,1,Stevens County,WA,mountain
53125,Bowen Mountain,3734,2.43,514,48.46760,-120.10500,1,Okanogan County,WA,mountain
53136,Stahl Mountain,3716,1.27,776,46.74290,-122.26960,1,Lewis County,WA,mountain
53169,Augspurger Mountain,3668,7.27,1528,45.75320,-121.70980,1,Skamania County,WA,mountain
53170,Winters Mountain,3668,8.19,1484,46.44970,-122.31340,1,Lewis County,WA,mountain
53235,Wheeler Mountain,3604,3.82,1150,48.23740,-121.90250,1,Snohomish County,WA,mountain
53245,Rattlesnake Mountain,3580,10.27,800,46.41530,-119.62980,1,Benton County,WA,mountain
53257,Bare Mountain,3578,5.31,1308,48.08740,-117.25950,1,Pend Oreille County,WA,mountain
53271,Tatman Mountain,3565,8.68,65,46.37190,-117.59860,1,Garfield County,WA,mountain
53322,Cooney Mountain,3520,1.92,220,48.11450,-117.88280,1,Stevens County,WA,mountain
53341,Brush Mountain,3500,2.85,1320,48.43340,-118.28850,1,Ferry County,WA,mountain
53376,Rattlesnake Mountain,3493,5.13,1583,48.60830,-117.96320,1,Stevens County,WA,mountain
53379,Gelbert Mountain,3490,3.11,560,47.32660,-117.12800,1,Spokane County,WA,mountain
53391,Hunter Mountain,3468,2.15,688,48.11020,-120.05540,1,Okanogan County,WA,mountain
53393,Lookout Mountain,3465,5.13,1205,47.17680,-120.78190,1,Kittitas County,WA,mountain
53400,McMillan Mountain,3460,4.04,920,47.92250,-117.73600,1,Stevens County,WA,mountain
53402,Squaw Mountain,3460,5.88,720,48.18310,-119.06460,1,Okanogan County,WA,mountain
53713,Browne Mountain,3150,2.08,140,47.60090,-117.32910,1,Spokane County,WA,mountain
53745,Lookout Mountain,3114,8.02,904,47.81300,-117.50930,1,Spokane County,WA,mountain
53746,Wrights Mountain,3111,3.12,1041,48.21810,-117.76730,1,Stevens County,WA,mountain
53800,Blue Mountain,3060,3.10,1080,48.18590,-121.92650,1,Snohomish County,WA,mountain
53816,Stewart Mountain,3050,1.15,260,48.75880,-122.26770,1,Whatcom County,WA,mountain
53818,Stranger Mountain,3047,2.93,867,48.26340,-118.23960,1,Ferry County,WA,mountain
53988,Riecker Mountain,2890,2.47,710,48.32930,-117.85420,1,Stevens County,WA,mountain
54104,Dobbs Mountain,2767,2.50,467,46.82930,-122.17770,1,Pierce County,WA,mountain
54183,Wahatis Peak,2692,27.27,1797,46.80650,-119.55800,2,Grant County,WA,peak
54184,Baird Mountain,2692,2.27,912,46.19220,-122.61810,1,Cowlitz County,WA,mountain
54227,Crazy Man Mountain,2650,4.10,878,46.43320,-122.49450,1,Lewis County,WA,mountain
54312,Bigler Mountain,2545,2.94,1605,48.03940,-124.12190,1,Clallam County,WA,mountain
54397,Hamilton Mountain,2438,3.05,338,45.65090,-122.00490,1,Skamania County,WA,mountain
54437,Sentinel Mountain,2405,9.03,595,46.81820,-119.86190,1,Grant County,WA,mountain
54638,Little Marble Mountain,2137,1.53,397,48.79360,-118.14280,1,Stevens County,WA,mountain
54673,Little Mountain,2071,2.51,261,45.97770,-121.49320,1,Klickitat County,WA,mountain
54680,Lost Mountain,2060,3.02,600,48.03360,-123.20530,1,Clallam County,WA,mountain
54713,Archer Mountain,2020,2.16,320,45.62030,-122.09980,1,Skamania County,WA,mountain
54811,Fuller Mountain,1880,4.60,830,47.58590,-121.74620,1,King County,WA,mountain
54863,Pinnacle Peak,1801,3.39,991,47.17380,-121.97340,2,King County,WA,peak
54902,"Pickett, Mount",1750,1.62,640,48.66680,-122.79960,0,San Juan County,WA,mount
54925,Devils Mountain,1727,5.73,1467,48.36490,-122.26820,1,Skagit County,WA,mountain
54938,Ryegrass Mountain,1710,7.25,220,46.92560,-120.02700,1,Kittitas County,WA,mountain
54984,Scott Mountain,1630,0.58,120,48.36630,-122.28070,1,Skagit County,WA,mountain
55056,Turtleback Mountain,1519,6.48,1489,48.66230,-122.97110,1,San Juan County,WA,mountain
55062,Horse Mountain,1507,1.34,167,48.71330,-119.40550,1,Okanogan County,WA,mountain
55067,"Pleasant, Mount",1499,1.91,320,46.07810,-122.79660,0,Cowlitz County,WA,mount
55071,Crawford Mountain,1490,5.76,1120,46.84320,-122.76490,1,Thurston County,WA,mountain
55128,Red Mountain,1410,6.28,725,46.28960,-119.42560,1,Benton County,WA,mountain
55189,Snipes Mountain,1301,9.91,526,46.31140,-120.09000,1,Yakima County,WA,mountain
55237,Sutter Mountain,1220,1.72,400,48.46240,-121.64100,1,Skagit County,WA,mountain
55246,Entrance Mountain,1210,3.01,800,48.63550,-122.84850,1,San Juan County,WA,mountain
55257,"Woolard, Mount",1192,2.92,1062,48.63050,-122.91200,0,San Juan County,WA,mount
55417,Beigle Mountain,970,1.19,350,46.34430,-122.72310,1,Cowlitz County,WA,mountain
55486,Cedar Mountain,896,5.03,484,47.44120,-122.10070,1,King County,WA,mountain
55535,Green Mountain,804,7.12,394,45.65460,-122.45660,1,Clark County,WA,mountain
55693,Bush Mountain,510,2.08,345,47.00560,-122.94440,1,Thurston County,WA,mountain
56181,Clem Nelson Peak,11060,4.91,880,37.39520,-118.17320,2,Inyo County,CA,peak
56310,San Bernardino Peak,10649,1.63,229,34.12240,-116.92250,2,San Bernardino County,CA,peak
56410,Grinnell Mountain,10284,2.08,479,34.12610,-116.80890,1,San Bernardino County,CA,mountain
56499,"Price, Mount",9975,1.60,515,38.86390,-120.17470,0,El Dorado County,CA,mount
56533,Round Mountain,9884,4.93,824,36.18930,-118.07400,1,Tulare County,CA,mountain
56569,Cornell Peak,9750,0.97,270,33.81360,-116.66260,2,Riverside County,CA,peak
56739,Red Peak,9307,0.72,87,38.92530,-120.22130,2,El Dorado County,CA,peak
56805,Throop Peak,9138,2.06,598,34.35060,-117.79920,2,Los Angeles County,CA,peak
56895,Leviathan Peak,8980,9.58,1120,38.68320,-119.61180,2,Alpine County,CA,peak
56901,Ski Heil Peak,8940,0.35,200,40.47280,-121.52240,2,Shasta County,CA,peak
57000,Martis Peak,8742,4.89,362,39.29140,-120.03300,2,Placer County,CA,peak
57207,Crafts Peak,8364,1.30,424,34.25130,-117.02950,2,San Bernardino County,CA,peak
57283,"Islip, Mount",8250,2.35,662,34.34500,-117.83970,0,Los Angeles County,CA,mount
57310,"Conard, Mount",8204,2.88,904,40.42880,-121.50170,0,Tehama County,CA,mount
57331,West Prospect Peak,8174,2.29,1102,40.59400,-121.37950,2,Shasta County,CA,peak
57400,Grouse Mountain,8083,3.84,543,37.30630,-118.58940,1,Inyo County,CA,mountain
57428,Waterman Mountain,8038,4.95,1418,34.33650,-117.93680,1,Los Angeles County,CA,mountain
57619,Pallett Mountain,7780,1.38,480,34.38580,-117.88580,1,Los Angeles County,CA,mountain
57855,San Emigdio Mountain,7492,3.24,1392,34.87330,-119.17900,1,Kern County,CA,mountain
57885,Hunter Mountain,7455,6.85,1475,36.55000,-117.53290,1,Inyo County,CA,mountain
57923,Ross Mountain,7402,2.39,142,34.32470,-117.75650,1,Los Angeles County,CA,mountain
58518,Lookout Mountain,6826,0.42,166,34.24870,-117.67510,1,Los Angeles County,CA,mountain
58557,East Table Mountain,6771,2.34,311,34.36750,-117.62910,1,San Bernardino County,CA,mountain
58971,Silver Peak,6397,1.29,722,34.81230,-115.69600,2,San Bernardino County,CA,peak
59163,White Mountain,6250,1.91,870,34.63130,-118.84790,1,Ventura County,CA,mountain
59638,Vetter Mountain,5908,3.38,688,34.29720,-118.02870,1,Los Angeles County,CA,mountain
59718,Mountain Home Peak,5860,1.24,560,34.12050,-116.99660,2,San Bernardino County,CA,peak
59768,Rattlesnake Peak,5826,3.34,926,34.27200,-117.77700,2,Los Angeles County,CA,peak
59875,Teutonia Peak,5754,2.20,718,35.30010,-115.56380,2,San Bernardino County,CA,peak
60117,"Lowe, Mount",5603,0.52,263,34.23210,-118.10620,0,Los Angeles County,CA,mount
60414,Monrovia Peak,5409,5.07,1509,34.21320,-117.96960,2,Los Angeles County,CA,peak
60415,"Sally, Mount",5408,1.18,468,34.27220,-118.01420,0,Los Angeles County,CA,mount
60437,Jobs Peak,5388,1.28,648,34.25730,-117.33180,2,San Bernardino County,CA,peak
60451,Cajon Mountain,5380,1.42,453,34.27240,-117.41980,1,San Bernardino County,CA,mountain
60468,Cleghorn Mountain,5333,1.56,793,34.29420,-117.41250,1,San Bernardino County,CA,mountain
60614,Asbestos Mountain,5265,5.48,1245,33.62760,-116.45900,1,Riverside County,CA,mountain
60760,Red Mountain,5187,5.90,496,37.02880,-118.28830,1,Inyo County,CA,mountain
60882,Smith Mountain,5111,3.70,811,34.28130,-117.86370,1,Los Angeles County,CA,mountain
60920,Chuckwalla Mountain,5029,2.40,849,35.27240,-118.09500,1,Kern County,CA,mountain
61004,Little Cahuilla Mountain,5042,2.78,502,33.60670,-116.81030,1,Riverside County,CA,mountain
61139,Brown Peak,4947,7.95,1684,36.11510,-116.38550,2,Inyo County,CA,peak
61358,Monument Mountain,4834,10.28,1134,33.81390,-115.89780,1,Riverside County,CA,mountain
61400,Los Pinos Mountain,4805,5.07,825,32.73460,-116.57770,1,San Diego County,CA,mountain
61452,Sugarloaf Mountain,4775,3.05,515,33.58840,-116.43470,1,Riverside County,CA,mountain
61647,Sampson Peak,4663,2.90,323,36.40860,-120.70410,2,San Benito County,CA,peak
61731,Morton Peak,4624,1.36,724,34.10270,-117.04070,2,San Bernardino County,CA,peak
61776,Van Winkle Mountain,4596,3.45,840,34.76440,-115.60690,1,San Bernardino County,CA,mountain
61933,Turquoise Mountain,4511,3.98,450,35.43580,-115.92310,1,San Bernardino County,CA,mountain
61937,Los Pinos Peak,4540,2.59,640,33.66500,-117.47120,2,Orange County,CA,peak
62319,Ell Peak,4300,4.24,640,36.36460,-121.43490,2,Monterey County,CA,peak
62370,Sheephead Mountain,4274,2.88,879,35.92000,-116.41010,1,Inyo County,CA,mountain
62744,Eylar Mountain,4089,9.91,1909,37.47760,-121.55600,1,Santa Clara County,CA,mountain
63020,Black Mountain,3951,7.37,1571,37.43730,-121.70110,1,Santa Clara County,CA,mountain
63191,"Day, Mount",3869,1.14,289,37.42080,-121.70010,0,Santa Clara County,CA,mount
63576,Little Bell Mountain,3690,1.33,580,34.56510,-117.22610,1,San Bernardino County,CA,mountain
63711,Sparkhule Mountain,3450,1.39,80,34.63010,-117.29960,1,San Bernardino County,CA,mountain
64192,Potato Mountain,3420,1.90,440,34.16560,-117.69220,1,Los Angeles County,CA,mountain
64400,Elena Mountain,3339,2.17,679,32.69000,-116.72940,1,San Diego County,CA,mountain
64621,Corral Mountain,3249,2.27,579,33.13230,-116.78090,1,San Diego County,CA,mountain
64919,"Gower, Mount",3103,3.74,433,33.01670,-116.76260,0,San Diego County,CA,mount
65089,Black Mountain,3040,6.41,770,33.61920,-117.00140,1,Riverside County,CA,mountain
65102,Eagle Mountain,3033,2.19,413,37.56920,-121.53710,1,San Joaquin County,CA,mountain
65533,San Vicente Mountain,2855,2.48,755,32.96840,-116.81170,1,San Diego County,CA,mountain
65766,Estelle Mountain,2767,5.45,1222,33.76740,-117.42200,1,Riverside County,CA,mountain
65771,Baby Peak,2766,1.32,66,37.46250,-121.66530,2,Santa Clara County,CA,peak
65922,"Russell, Mount",2704,5.98,1109,33.90030,-117.15000,0,Riverside County,CA,mount
66091,"Defiance, Mount",2657,1.85,317,36.46700,-121.17250,0,San Benito County,CA,mount
66811,Diamond Mountain,2375,3.50,475,38.53940,-122.58530,1,Sonoma County,CA,mountain
66961,Chatsworth Peak,2314,2.41,602,34.25710,-118.64050,2,Ventura County,CA,peak
67218,"Jurupa, Mount",2217,8.42,1167,34.03230,-117.44270,0,Riverside County,CA,mount
67236,Pine Mountain,2208,3.47,828,37.15450,-122.22680,1,Santa Cruz County,CA,mountain
67948,Picacho Peak,1930,8.87,1107,32.97140,-114.66430,2,Imperial County,CA,peak
68288,Lookout Mountain,1820,0.84,160,36.88160,-121.09490,1,Merced County,CA,mountain
68665,Franks Peak,1688,0.29,238,33.10500,-117.15720,2,San Diego County,CA,peak
68774,Double Peak,1644,1.30,474,33.10940,-117.17770,2,San Diego County,CA,peak
69081,Mother Miguel Mountain,1527,1.79,457,32.68470,-116.96380,1,San Diego County,CA,mountain
69229,Buried Mountain,1472,4.28,132,33.64940,-115.85700,1,Riverside County,CA,mountain
69289,Laguna Peak,1457,1.00,187,34.10860,-119.06490,2,Ventura County,CA,peak
69474,"Helix, Mount",1373,4.24,711,32.76700,-116.98340,0,San Diego County,CA,mount
69648,Fortuna Mountain,1291,2.90,421,32.84700,-117.06090,1,San Diego County,CA,mountain
69949,Signal Peak,1164,10.93,794,33.60600,-117.81180,2,Orange County,CA,peak
70050,Sulphur Springs Mountain,1112,1.62,522,38.15140,-122.19110,1,Solano County,CA,mountain
70541,Soledad Mountain,822,11.15,472,32.84000,-117.25250,1,San Diego County,CA,mountain
70597,"Caroline Livermore, Mount",781,3.77,781,37.86150,-122.43070,0,Marin County,CA,mount
70826,Round Mountain,554,1.95,515,34.16250,-119.05660,1,Ventura County,CA,mountain
